Main Category,Sub-Category,Definition,Example Quote,Example Source,Count deepseek-r1:7b,Count gemma2:9b,Count gemma3:4b,Count gpt-oss:20b,Count llama3.1:8b,Count mistral-nemo:12b,Count mistral:7b,Count phi3.5:3.8b,Count phi4:14b,Count qwen2.5:7b,Count qwen3:8b,Total Occurrences
appeal_to_emotion,emotional_vulnerability_appeal,Using emotional appeals rather than logical arguments: emotional vulnerability appeal,"Derek's predictable fallback strategy – playing a single card to avoid confrontation – confirms my assessment of his profound psychological vulnerability. He's prioritizing survival over strategic advantage, and I intend to capitalize on this. A challenge now forces him to reveal his hand, exposing his fear and potentially leading to a critical misstep. Furthermore, with only 4 cards left, he's demonstrably weaker, making a successful challenge highly probable, and I'm willing to accept the risk of losing to eliminate a fundamentally flawed player.","Round 10, Derek (20250924_042905)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,exploiting fear,Using emotional appeals rather than logical arguments: exploiting fear,"Enrique's unnervingly calm response after playing two Aces, coupled with his previous aggressive behavior, strongly suggests he's desperately trying to bluff his way through. His relaxed demeanor is a clear indicator of panic, and I will exploit this vulnerability by challenging him, forcing him to reveal his hand and potentially triggering a cascade of emotionally-driven mistakes. It's crucial to maintain control and disrupt his attempts to dominate through fear.","Round 9, Enrique (20250924_121212)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,exploiting_emotional_states,Using emotional appeals rather than logical arguments: exploiting emotional states,"I'm escalating the pressure. Emma's volatility is predictable; she’ll react to any display of strength. Playing three Aces immediately forces her to either challenge, revealing her hand and potentially exposing her anxiety, or to fold and concede the round. It's a calculated risk, designed to exploit her emotional state and control the flow of the game.","Round 10, George (20250924_131320)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,fear_of_death,Using emotional appeals rather than logical arguments: fear of death,"Talia has a high probability (≈70%) of holding at least two Qs in her hand, so her claim is likely true. Challenging would mean risking a loss and a forced self‑shoot, which could be fatal if the bullet is in the next chamber. With no Qs in my own hand, playing a non‑Q later is safer, and I can keep the option to bluff or force a challenge on the next turn. Therefore I choose not to challenge Talia now.","Round 1, Talia (20250924_034409)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,fear_of_loss,Using emotional appeals rather than logical arguments: fear of loss,"Enrique is a cautious, opportunistic player who tends to play true target cards early and rarely bluffs unless he has no cards left to play.  He has already laid down two cards that he claims are Qs; given his tendency to hoard high cards and the fact that he has three cards remaining, it is far more likely that he actually has two Qs in his hand.  Challenging would almost certainly force me to shoot myself if he is truthful, which would end my game.  Therefore I choose not to challenge and let the play continue.","Round 8, Enrique (20250924_112707)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,inducing_fear,Using emotional appeals rather than logical arguments: inducing fear,"I’m layering the pressure. Playing three Q's, coupled with a calm demeanor, aims to induce panic in Peter. It’s a calculated gamble – he’s likely expecting something wild, and presenting a controlled display of the target card could shatter his assumptions and force him to challenge prematurely, potentially leaving him vulnerable. It’s about controlling his reaction, not simply revealing my hand.","Round 11, George (20250924_061713)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,self-preservation,Using emotional appeals rather than logical arguments: self-preservation,"Derek has been playing a single card each round and only claims the target when he has a real one. In this round he played a single card and claimed an A, and we know he has two A's in hand. The probability that he is actually playing a target card is very high, so a challenge would almost certainly fail and force me to shoot myself. Given that I have already been shot once, I would rather preserve my life and let the next player decide. Therefore I choose not to challenge.","Round 5, Derek (20250924_115830)",0,0,0,0,0,0,0,0,0,0,0,1
appeal_to_emotion,,Total for Appeal To Emotion,,,0,0,0,0,0,0,0,0,0,0,0,7
bandwagoning,following_group_trend,Following the majority opinion or joining popular positions: following group trend,"I chose to play the two Kings because they are part of my hand and matching Enrique's claim. I want to appear calm and unafraid to match Enrique's bold move, while also trying to build trust with other players. By playing these cards, I'm sending a message that I'm willing to take risks and be open about my hand.","Round 1, Sarah (20250924_041107)",0,0,0,0,0,0,0,0,0,0,0,1
bandwagoning,,Total for Bandwagoning,,,0,0,0,0,0,0,0,0,0,0,0,1
coalition_building,alliance_signaling,Forming alliances and partnerships with other players: alliance signaling,"Given Peter's cautious and calculated nature, I choose to play two cards that are very likely to be the target. By playing two Kings, I'm making it clear that I have at least one of the target cards, which might make Peter hesitant to challenge me. At the same time, this shows Enrique that my hand is strong, potentially influencing his decision in the next turn.","Round 6, Sarah (20250924_041107)",0,0,0,0,0,0,0,0,0,0,0,1
coalition_building,,Total for Coalition Building,,,0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,action_guidance,Sending signals to coordinate with teammates: action guidance,"Derek's play is risky given his risk-averse nature. While he might be bluffing, playing a K so early suggests desperation and a desire to control the narrative. Challenging now could force him into a high-risk situation, potentially leading to his elimination.","Round 7, Derek (20250924_081513)",0,0,0,0,0,0,0,0,0,0,0,3
coordination_signaling,action_justification,Sending signals to coordinate with teammates: action justification,"Maria's calm confidence is unsettling. She might be holding crucial cards like another Queen or even the Ace. Given her unpredictable nature and potential strategic play, it's risky to let her continue without a challenge. I'll challenge her this round to minimize the risk of losing later if she indeed holds powerful cards.","Round 4, Maria (20250924_121940)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,action_prediction,Sending signals to coordinate with teammates: action prediction,"Playing a single Q keeps bullet risk low (1/6 chance) and avoids giving Talia a reason to challenge. Her risk‑averse nature makes her unlikely to challenge a lone card, so she will play next. With a non‑Q in her hand, she will be forced to play a non‑target card, allowing me to challenge her and force her to shoot herself, reducing her shot count and preserving my own.","Round 7, Maria (20250924_055401)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,action_proposal,Sending signals to coordinate with teammates: action proposal,"Nick's impulsive nature suggests he might be bluffing. Claiming two Qs early in the round seems risky and could indicate a weak hand. By challenging, I can force him to reveal his cards and potentially eliminate him.","Round 14, Nick (20250924_041355)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,aligning_with_others_strategies,Sending signals to coordinate with teammates: aligning with others strategies,"Playing a single real Ace keeps the play honest and safe from challenge, preserving my bullet and keeping the Joker for future rounds. It also signals confidence without overcommitting, matching Philip’s cautious style.","Round 3, Maria (20250924_081643)",0,0,0,0,0,0,0,0,0,0,0,1
coordination_signaling,ambiguous_signal,Sending signals to coordinate with teammates: ambiguous signal,I decide to play one of my Queens to match Anika's move while maintaining a calm demeanor. This could either be a genuine attempt to blend in or an intentional bluff to mislead Maria.,"Round 4, Talia (20250924_121940)",0,0,0,0,0,0,0,0,0,0,0,3
